Timestamp,Frame_Index,Source,Flow_Mode,FPS,Tracked_Vectors,Displacement_dX_px,Displacement_dY_px,Speed_px_f,Heading_deg,Divergence,Obstacle_Risk,Cumulative_Drift_X_px,Cumulative_Drift_Y_px
2026-07-21T11:52:02.676822,1,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,29.8,34,6.73,9.9,11.97,55.8,38.764,HIGH,6.7,9.9
2026-07-21T11:52:02.884826,9,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,38,1,3.7,-2.27,4.35,-31.5,3.766,HIGH,10.4,7.6
2026-07-21T11:52:02.915190,10,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,36.5,1,4.37,-3.4,5.54,-37.8,4.534,HIGH,14.8,4.2
2026-07-21T11:52:02.944857,11,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,36.6,2,2.54,-2.94,3.88,-49.2,2.968,HIGH,17.3,1.3
2026-07-21T11:52:02.976211,12,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,35.7,3,-0.74,-0.24,0.78,-161.7,1.227,MEDIUM,16.6,1
2026-07-21T11:52:03.008441,13,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,34.7,4,0.2,-0.42,0.46,-65,0.492,LOW,16.8,0.6
2026-07-21T11:52:03.038520,14,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,34.3,7,-0.67,0.08,0.68,172.8,0.816,LOW,16.1,0.7
2026-07-21T11:52:03.077714,15,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,34.2,10,-1.78,-1.31,2.21,-143.7,1.294,MEDIUM,14.3,-0.6
2026-07-21T11:52:03.119888,16,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,31.4,11,0.11,-0.74,0.75,-81.5,0.759,LOW,14.5,-1.3
2026-07-21T11:52:03.152859,17,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,30.7,14,-0.81,0.28,0.85,160.6,0.077,LOW,13.7,-1
2026-07-21T11:52:03.182453,18,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,30.9,14,-1.73,-1.26,2.14,-144.1,0.508,LOW,11.9,-2.3
2026-07-21T11:52:03.214693,19,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,30.7,14,-0.73,-0.34,0.81,-155.4,0.928,LOW,11.2,-2.6
2026-07-21T11:52:03.245209,20,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,31.3,16,-0.81,-0.65,1.04,-141.4,1.055,LOW,10.4,-3.3
2026-07-21T11:52:03.265271,21,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,32.1,15,-1.16,-0.7,1.36,-149.2,1.274,MEDIUM,9.2,-4
2026-07-21T11:52:03.289875,22,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,34.5,14,-1.37,-0.91,1.64,-146.3,1.317,MEDIUM,7.8,-4.9
2026-07-21T11:52:03.324688,23,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,35.9,20,-1.4,-0.1,1.4,-176,1.237,MEDIUM,6.4,-5
2026-07-21T11:52:03.349392,24,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,34.3,17,-1.57,-0.27,1.59,-170.3,1.557,MEDIUM,4.9,-5.3
2026-07-21T11:52:03.369398,25,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,37.3,14,-1.43,-0.31,1.46,-167.8,1.365,MEDIUM,3.4,-5.6
2026-07-21T11:52:03.412682,26,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,36.5,22,-1.45,-0.22,1.47,-171.3,1.427,MEDIUM,2,-5.8
2026-07-21T11:52:03.437011,27,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,34.6,18,-1.74,-0.15,1.75,-175,1.512,MEDIUM,0.3,-6
2026-07-21T11:52:03.459885,28,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,36.6,17,-1.43,-0.26,1.46,-169.6,1.263,MEDIUM,-1.2,-6.2
2026-07-21T11:52:03.480424,29,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,38.5,16,-1.38,-0.3,1.41,-167.9,1.459,MEDIUM,-2.6,-6.5
2026-07-21T11:52:03.500436,30,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,40.9,15,-1.7,-0.47,1.76,-164.6,1.318,MEDIUM,-4.3,-7
2026-07-21T11:52:03.520714,31,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.6,15,-1.29,-0.38,1.34,-163.5,1.416,MEDIUM,-5.5,-7.4
2026-07-21T11:52:03.541498,32,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.7,15,-1.65,-0.25,1.66,-171.4,1.532,MEDIUM,-7.2,-7.6
2026-07-21T11:52:03.564567,33,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.3,15,-1.51,-0.24,1.53,-170.9,1.652,MEDIUM,-8.7,-7.9
2026-07-21T11:52:03.585961,34,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44.4,14,-1.73,-0.15,1.74,-175.2,1.704,MEDIUM,-10.4,-8
2026-07-21T11:52:03.616520,35,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44.2,22,-0.93,-0.01,0.93,-179.3,1.805,MEDIUM,-11.4,-8
2026-07-21T11:52:03.638467,36,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.2,17,-0.6,-0.16,0.62,-165,1.333,MEDIUM,-12,-8.2
2026-07-21T11:52:03.658066,37,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44.6,15,-0.85,-0.11,0.86,-172.4,1.499,MEDIUM,-12.8,-8.3
2026-07-21T11:52:03.679106,38,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44.7,15,-0.86,-0.17,0.87,-168.9,1.492,MEDIUM,-13.7,-8.5
2026-07-21T11:52:03.703922,39,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44,15,-0.87,-0.14,0.88,-170.8,1.503,MEDIUM,-14.5,-8.6
2026-07-21T11:52:03.725186,40,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44.1,15,-0.72,-0.05,0.72,-175.8,1.713,MEDIUM,-15.3,-8.6
2026-07-21T11:52:03.747797,41,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44.1,15,-0.95,-0.14,0.96,-171.7,1.714,MEDIUM,-16.2,-8.8
2026-07-21T11:52:03.773517,42,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43,14,-0.69,-0.1,0.7,-171.7,1.523,MEDIUM,-16.9,-8.9
2026-07-21T11:52:03.803527,43,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44.3,31,-0.83,0.26,0.87,162.4,2.191,MEDIUM,-17.7,-8.6
2026-07-21T11:52:03.826476,44,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,41.5,28,-1.21,0.35,1.26,163.7,2.787,HIGH,-18.9,-8.3
2026-07-21T11:52:03.846072,45,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.7,23,-1.56,0.03,1.56,178.8,2.109,MEDIUM,-20.5,-8.2
2026-07-21T11:52:03.872384,46,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.3,22,-1.32,0.09,1.33,176,2.104,MEDIUM,-21.8,-8.1
2026-07-21T11:52:03.895084,47,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43,22,-1.26,0.1,1.27,175.6,2.126,MEDIUM,-23.1,-8
2026-07-21T11:52:03.914354,48,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44.2,21,-1.35,0.06,1.35,177.6,2.203,MEDIUM,-24.4,-8
2026-07-21T11:52:03.938970,49,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.7,21,-1.52,0.03,1.52,178.9,2.345,MEDIUM,-26,-8
2026-07-21T11:52:03.962376,50,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.5,21,-1.51,0.04,1.51,178.5,2.449,MEDIUM,-27.5,-7.9
2026-07-21T11:52:03.982835,51,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44.6,21,-1.49,0.08,1.49,176.8,2.469,MEDIUM,-29,-7.8
2026-07-21T11:52:04.006188,52,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44.7,21,-1.57,0.09,1.58,176.8,2.521,HIGH,-30.5,-7.7
2026-07-21T11:52:04.031188,53,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.1,21,-1.81,0.14,1.82,175.7,2.88,HIGH,-32.4,-7.6
2026-07-21T11:52:04.057218,54,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.5,19,-1.15,0.03,1.15,178.4,2.338,MEDIUM,-33.5,-7.6
2026-07-21T11:52:04.079563,55,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.3,19,-1.17,0.18,1.18,171.4,2.362,MEDIUM,-34.7,-7.4
2026-07-21T11:52:04.102519,56,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.4,19,-1.36,0.11,1.37,175.6,2.589,HIGH,-36,-7.3
2026-07-21T11:52:04.124116,57,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.4,18,-1.68,-0.05,1.68,-178.2,2.38,MEDIUM,-37.7,-7.3
2026-07-21T11:52:04.148271,58,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.2,17,-2.02,0,2.02,179.9,2.43,MEDIUM,-39.7,-7.3
2026-07-21T11:52:04.172039,59,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.4,17,-2.08,0,2.08,180,2.56,HIGH,-41.8,-7.3
2026-07-21T11:52:04.193572,60,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.4,16,-1.8,0.01,1.8,179.6,2.372,MEDIUM,-43.6,-7.3
2026-07-21T11:52:04.220435,61,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.5,16,-1.99,0.01,1.99,179.8,2.452,MEDIUM,-45.6,-7.3
2026-07-21T11:52:04.241556,62,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43,16,-2.01,-0.02,2.01,-179.5,2.491,MEDIUM,-47.6,-7.3
2026-07-21T11:52:04.264285,63,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43,16,-2.02,0.05,2.02,178.5,2.613,HIGH,-49.6,-7.3
2026-07-21T11:52:04.289638,64,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.5,16,-2.08,-0.08,2.08,-177.9,2.725,HIGH,-51.7,-7.4
2026-07-21T11:52:04.311166,65,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.7,16,-2.12,-0.06,2.12,-178.3,2.86,HIGH,-53.8,-7.4
2026-07-21T11:52:04.332443,66,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.9,15,-1.86,-0.22,1.87,-173.4,2.635,HIGH,-55.7,-7.6
2026-07-21T11:52:04.360462,67,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.3,14,-1.64,-0.23,1.66,-172.1,2.508,HIGH,-57.3,-7.9
2026-07-21T11:52:04.395633,68,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.9,47,-1.16,0.73,1.37,148,2.823,HIGH,-58.5,-7.1
2026-07-21T11:52:04.417464,69,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,40.2,41,-0.79,0.67,1.03,139.6,2.401,MEDIUM,-59.3,-6.5
2026-07-21T11:52:04.443593,70,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,40.3,39,-0.9,0.34,0.97,159.7,2.215,MEDIUM,-60.2,-6.1
2026-07-21T11:52:04.464563,71,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,41,35,-0.9,0.23,0.93,165.8,2.261,MEDIUM,-61.1,-5.9
2026-07-21T11:52:04.488555,72,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,40.9,32,-0.72,0.07,0.72,174.1,2.173,MEDIUM,-61.8,-5.8
2026-07-21T11:52:04.512030,73,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,40.9,30,-0.69,-0.05,0.69,-175.7,2.026,MEDIUM,-62.5,-5.9
2026-07-21T11:52:04.535404,74,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.3,29,-0.38,-0.02,0.38,-177.5,1.981,MEDIUM,-62.9,-5.9
2026-07-21T11:52:04.556876,75,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.6,29,-0.49,-0.08,0.5,-170.4,1.921,MEDIUM,-63.4,-6
2026-07-21T11:52:04.583427,76,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44.8,29,-0.49,-0.05,0.49,-173.8,2.044,MEDIUM,-63.9,-6
2026-07-21T11:52:04.606858,77,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.4,28,-0.46,-0.08,0.46,-169.6,2.213,MEDIUM,-64.3,-6.1
2026-07-21T11:52:04.628158,78,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.8,28,-0.53,-0.04,0.53,-175.5,2.264,MEDIUM,-64.8,-6.2
2026-07-21T11:52:04.654382,79,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.1,28,-0.4,-0.01,0.4,-178.9,2.228,MEDIUM,-65.2,-6.2
2026-07-21T11:52:04.679845,80,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,41.8,27,-0.51,-0.14,0.53,-165.1,2.393,MEDIUM,-65.7,-6.3
2026-07-21T11:52:04.705973,81,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,40.8,27,-0.47,-0.05,0.47,-174.2,2.392,MEDIUM,-66.2,-6.4
2026-07-21T11:52:04.729633,82,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,41,26,-0.73,-0.25,0.77,-160.7,2.489,MEDIUM,-66.9,-6.6
2026-07-21T11:52:04.755934,83,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,40.5,26,-0.7,-0.07,0.7,-174.6,2.612,HIGH,-67.6,-6.7
2026-07-21T11:52:04.778366,84,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,41.5,26,-0.8,-0.13,0.81,-170.9,2.613,HIGH,-68.4,-6.8
2026-07-21T11:52:04.797014,85,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.6,26,-0.77,-0.16,0.78,-168.5,2.758,HIGH,-69.2,-7
2026-07-21T11:52:04.819816,86,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.9,26,-0.69,-0.05,0.7,-176,2.926,HIGH,-69.9,-7
2026-07-21T11:52:04.844041,87,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.3,25,-0.56,-0.11,0.57,-168.9,2.708,HIGH,-70.5,-7.1
2026-07-21T11:52:04.868002,88,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,43.1,25,-0.56,-0.22,0.6,-158.4,2.878,HIGH,-71,-7.3
2026-07-21T11:52:04.891551,89,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.6,25,-0.42,-0.16,0.45,-159.3,2.984,HIGH,-71.4,-7.5
2026-07-21T11:52:04.913235,90,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.9,25,-0.65,-0.08,0.66,-173,3.158,HIGH,-72.1,-7.6
2026-07-21T11:52:04.933894,91,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,44,24,-0.4,-0.11,0.41,-164.8,2.955,HIGH,-72.5,-7.7
2026-07-21T11:52:04.964120,92,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.5,24,-0.28,-0.12,0.3,-156.2,3.187,HIGH,-72.8,-7.8
2026-07-21T11:52:04.988503,93,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.3,24,-0.63,0.11,0.64,170.1,3.234,HIGH,-73.4,-7.7
2026-07-21T11:52:05.011000,94,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42,24,-0.31,0.07,0.32,168.2,3.497,HIGH,-73.7,-7.6
2026-07-21T11:52:05.032500,95,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.9,24,-0.59,-0.1,0.6,-170.5,3.585,HIGH,-74.3,-7.7
2026-07-21T11:52:05.056409,96,uploads\Bowling_FPV_Video_-_Cinewhoop_-_Skypower__1080p_.mp4,sparse,42.7,24,-0.47,-0.25,0.53,-151.7,3.779,HIGH,-74.8,-8
